node_id,top1_business,top1_pred_cost,top1_pred_profit,top1_profit_positive,top2_business,top2_pred_cost,top2_pred_profit,top2_profit_positive,top3_business,top3_pred_cost,top3_pred_profit,top3_profit_positive
05238a27ee69809720e284fea4b74100,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
13da1c774e5e4207a732aef1aff8790b,10000304,439.04,117.03,1,10000064,172.08,37.78,1,10000251,1.24,5.22,1
183088f93d1a45e5cb2d3cc11436a70b,1380317970,191.1,38.85,1,10000292,140.33,29.72,1,10000079,87.88,32.8,1
1fd1a65049cdc12c1e53df5452614000,10000079,558.84,42.52,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
2075bb6257b8acbf7aaf75364621a90c,10000079,521.78,48.09,1,10000069,481.68,37.99,1,10000292,414.48,34.29,1
2e752f158785921d7932f8c43eddba09,10000079,558.84,42.52,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
3a7c931f78dcb8c22198f461f815b40b,10000079,558.84,42.52,1,10000304,439.04,117.03,1,10000251,1.24,5.22,1
3e0f48965a0b459f613a32428ebcd803,10000069,510.9,112.02,1,10000079,414.85,37.59,1,10000292,357.55,34.06,1
3eec0bd3a71d8641aa2644b5d8938600,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
460b2b629ea374ccc04f4f5627239702,10000292,425.77,43.48,1,10000278,33.84,23.77,1,10000251,1.24,5.22,1
4e08d3ea84c67ac5dbb5c4c53dccc105,10000304,439.04,117.03,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
53871f9078043b2e0601dc6846db1f00,10000304,439.04,117.03,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
5992089909bca874ea298ac5d2080405,10000292,425.77,43.48,1,10000281,315.21,63.94,1,10000279,308.48,23.59,1
6045054ea502c249aee911636c05dd07,10000096,770.89,206.93,1,10000069,420.91,214.71,1,10000079,406.17,31.15,1
6297b610cdd25c5c12d2ee4a39696802,10000304,439.04,117.03,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
663ac4eaadefd284f8b120d8c5b45e04,1380317970,376.28,57.81,1,10000069,367.96,86.97,1,10000304,296.58,84.7,1
6af03b8af83f412d8b35edd01d34650c,10000292,425.77,43.48,1,10000278,33.84,23.77,1,10000251,1.24,5.22,1
7210436097e98e95a46ed1330e25c207,10000123,238.07,47.36,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
7ff360fac71f39b9363020c8978f6a05,10000069,653.08,177.73,1,10000079,558.84,42.52,1,10000251,1.24,5.22,1
814315cd14dfb4b05687b74bb3b4c000,10000292,425.77,43.48,1,10000278,33.84,23.77,1,10000251,1.24,5.22,1
85cec1eeb31a1674de4f75f7e5e4ae07,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
85ea3848fcfdbb061799f17636dad000,10000292,425.77,43.48,1,10000278,33.84,23.77,1,10000251,1.24,5.22,1
86752eea4d7095d80bcda4c9df97b902,10000019,19.11,13.1,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
86c2ab326306c9cd2e1478b50ab76306,10000079,558.84,42.52,1,10000251,1.24,5.22,1,10000256,1.06,5.22,1
8b0dfbce8450e2916fd728c8d469e106,10000292,425.77,43.48,1,1380317970,391.28,61.45,1,10000278,33.84,23.77,1
902158f3a7f53291844b09bdd5217801,10000292,425.77,43.48,1,10000281,315.21,63.94,1,10000279,308.48,23.59,1
970fe3412dc180ab7ef041a61761e500,10000251,1.24,5.22,1,10000256,1.06,5.22,1,10000193,1.01,5.22,1
98a94e2fc875608b35c124de1f15f000,10000304,2152.74,410.92,1,1380460970,1969.82,591.04,1,10000096,1945.77,264.94,1
9e18881c2cea92f7308f072d124a4705,10000292,425.77,43.48,1,10000278,33.84,23.77,1,10000251,1.24,5.22,1
