全库 large 放大表（时间外 n=2994；Top1 推荐占比 vs 真实最优占比）
10000244	推荐 61.2%	真优 17.5%	放大 3.5
FQCDNV	推荐 9.6%	真优 0.0%	放大 inf
10000304	推荐 4.8%	真优 5.0%	放大 0.96
1380460970	推荐 4.4%	真优 0.0%	放大 inf
1382680008	推荐 3.0%	真优 0.8%	放大 3.56
10000096	推荐 2.8%	真优 0.0%	放大 inf
10000069	推荐 2.8%	真优 3.1%	放大 0.9
10000034	推荐 1.6%	真优 0.1%	放大 16.33
10000079	推荐 1.3%	真优 17.2%	放大 0.07
10000064	推荐 1.1%	真优 12.5%	放大 0.09
10000191	推荐 1.0%	真优 0.1%	放大 15.5
1381526443	推荐 0.9%	真优 0.3%	放大 3.11
10000183	推荐 0.9%	真优 1.7%	放大 0.54
10000224	推荐 0.9%	真优 0.5%	放大 1.73
10000014	推荐 0.7%	真优 0.1%	放大 10.5
1382649737	推荐 0.6%	真优 1.2%	放大 0.5
10000074	推荐 0.5%	真优 1.8%	放大 0.3
10000005	推荐 0.5%	真优 0.2%	放大 2.8
10000294	推荐 0.4%	真优 3.7%	放大 0.1
10000078	推荐 0.3%	真优 0.0%	放大 inf
1380317970	推荐 0.2%	真优 0.3%	放大 0.78
10000037	推荐 0.1%	真优 0.0%	放大 3.0
10000088	推荐 0.1%	真优 2.7%	放大 0.04
FQTZV	推荐 0.1%	真优 0.0%	放大 inf
10000000	推荐 0.1%	真优 0.6%	放大 0.17
10000123	推荐 0.0%	真优 6.0%	放大 0.0
10000041	推荐 0.0%	真优 0.3%	放大 0.0
10000300	推荐 0.0%	真优 0.4%	放大 0.0
10000292	推荐 0.0%	真优 12.0%	放大 0.0
10000048	推荐 0.0%	真优 0.1%	放大 0.0
10000001	推荐 0.0%	真优 0.6%	放大 0.0
4200000001	推荐 0.0%	真优 0.0%	放大 0.0
10000282	推荐 0.0%	真优 0.2%	放大 0.0
10000281	推荐 0.0%	真优 1.5%	放大 0.0
10000303	推荐 0.0%	真优 0.2%	放大 0.0
10000197	推荐 0.0%	真优 0.0%	放大 0.0
10000325	推荐 0.0%	真优 0.3%	放大 0.0
10000278	推荐 0.0%	真优 0.3%	放大 0.0
10000314	推荐 0.0%	真优 0.3%	放大 0.0
10000109	推荐 0.0%	真优 0.1%	放大 0.0
10000038	推荐 0.0%	真优 0.1%	放大 0.0
10000316	推荐 0.0%	真优 0.3%	放大 0.0
10000295	推荐 0.0%	真优 0.0%	放大 0.0
10000175	推荐 0.0%	真优 0.1%	放大 0.0
10000083	推荐 0.0%	真优 0.0%	放大 0.0
10000154	推荐 0.0%	真优 0.0%	放大 0.0
10000003	推荐 0.0%	真优 1.3%	放大 0.0
10000139	推荐 0.0%	真优 0.0%	放大 0.0
10000215	推荐 0.0%	真优 0.0%	放大 0.0
1382490022	推荐 0.0%	真优 0.6%	放大 0.0
10000229	推荐 0.0%	真优 0.0%	放大 0.0
10000312	推荐 0.0%	真优 0.1%	放大 0.0
10000122	推荐 0.0%	真优 0.5%	放大 0.0
10000321	推荐 0.0%	真优 0.0%	放大 0.0
10000054	推荐 0.0%	真优 0.1%	放大 0.0
10000279	推荐 0.0%	真优 0.1%	放大 0.0
1380389889	推荐 0.0%	真优 0.8%	放大 0.0
10000147	推荐 0.0%	真优 0.0%	放大 0.0
10000251	推荐 0.0%	真优 0.1%	放大 0.0
10000129	推荐 0.0%	真优 0.1%	放大 0.0
10000177	推荐 0.0%	真优 0.1%	放大 0.0
10000050	推荐 0.0%	真优 0.1%	放大 0.0
10000019	推荐 0.0%	真优 3.8%	放大 0.0
