node_id,deliverytype,resourcetype,province,isp,bw,nattype,dialtype,device_type,os,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize
04c4b20f69ad63d0fbbe2d467d3693d9,aggregation,aggregation,海南,移动,150.0,,,,,,,,,,
07ad3d64c7d65234e5518876bf5339c0,idc,dedicated,江苏,电信,10000.0,,,,,,,,,,
06ae59111218114d114add0aababd212,idc,dedicated,江西,移动,3600.0,,,,,,,,,,
0a9217ba1e5b39fed8b9edae31f5ce94,aggregation,aggregation,海南,移动,150.0,,,,,,,,,,
03f4d7d6fab6db3683e0c31993629fc1,aggregation,aggregation,陕西,移动,220.0,,,,,,,,,,
04e22e797850bcceee5b626cf6d364d9,aggregation,aggregation,河北,移动,1400.0,,,,,,,,,,
0c4a095462ccc1f680d4e13e9c943cdf,idc,dedicated,黑龙江,联通,5000.0,,,,,,,,,,
007b8446c56ec4023d75500db0bc202d,aggregation,aggregation,湖南,移动,220.0,,,,,,,,,,
03a5b4ed45fb407ed23e9415add08a8c,idc,dedicated,辽宁,联通,7000.0,,,,,,,,,,
04512f0c39d778725ea33c264f76a8ba,aggregation,aggregation,重庆,移动,500.0,,,,,,,,,,
09fb38a737830002a164ac55e58bb0e2,idc,dedicated,天津,移动,7000.0,,,,,,,,,,
1119efedb549eba01c94a1d46d8c0fb8,idc,dedicated,山东,移动,8000.0,,,,,,,,,,
116dff72698b991c71e1fdebdf483120,,,,,2500.0,,,,,,,,,,
000df5b634c105b55651a58e8c966b79,idc,dedicated,浙江,移动,5000.0,,,,,,,,,,
05f1bf977ddc2449ed9fbd47e20f925d,idc,dedicated,江西,移动,3600.0,,,,,,,,,,
0872f6efb56675c96b35b501c1ae042f,idc,dedicated,江西,移动,9000.0,,,,,,,,,,
0fbe11fa24050650ecc6009b2cbf27f0,dedicated,dedicated,浙江,移动,5000.0,,,,,,,,,,
11a8aa45ffda137c043a973786a535b6,aggregation,aggregation,河南,移动,2475.0,,,,,,,,,,
0f171496799d522242cc86533c2c753a,idc,dedicated,江苏,移动,7000.0,,,,,,,,,,
1459bdcef5cb3f188cb82b03fb8476df,idc,aggregation,天津,联通,3000.0,,,,,,,,,,
0d7ce0bf2ce7cf0a4f8218facb6c73e3,aggregation,aggregation,辽宁,移动,1000.0,,,,,,,,,,
03221681b07c02499b720c89c7ea2131,aggregation,aggregation,北京,移动,150.0,,,,,,,,,,
0f25e0e6637045df48fb11b6624aa6c4,idc,dedicated,北京,电信,5000.0,,,,,,,,,,
0ad0f1e024632469b458f49b82fe87d1,idc,dedicated,湖北,电信,5000.0,,,,,,,,,,
000b55c2817954c7dd6169bed0e4ee6b,idc,dedicated,江苏,电信,5000.0,,,,,,,,,,
0bce53545abee11333c3be2b9e99d1fc,idc,dedicated,山东,移动,7200.0,,,,,,,,,,
0fee1cf32e2b0e9dfe7b7cd20d1c46a6,idc,dedicated,河南,联通,7000.0,,,,,,,,,,
0cf859a32528523bcf2d4e63e323777c,dedicated,dedicated,山东,联通,1500.0,,,,,,,,,,
1f9d9ee4dcace5501aa7ef82e3316396,aggregation,aggregation,河南,移动,1200.0,,,,,,,,,,
28e48a5b747aacdbf4a459e470f5fe96,aggregation,aggregation,宁夏,移动,1800.0,,,,,,,,,,
1db16f2587779d392e59508815a8a20a,idc,dedicated,江苏,移动,5000.0,,,,,,,,,,
1a6db5a7f2164ca74e9cacbf7db2d827,idc,dedicated,天津,移动,10000.0,,,,,,,,,,
