business,business_name,canonical_business,canonical_business_name,binding_type,source,note
1380460970,七牛CDN,1380460970,七牛CDN,self,accept_rule_inventory_customers,七牛真实签约业务
10000280,七牛CDN-ZJ月95,1380460970,七牛CDN,signId,accept_rule_inventory_customers,NiuLink虚拟业务绑定到七牛CDN
10000284,七牛买断-ZJ月95,1380460970,七牛CDN,signId,accept_rule_inventory_customers,NiuLink虚拟业务绑定到七牛CDN
10000026,七牛MIKU,1380460970,七牛CDN,signId,accept_rule_inventory_customers,七牛系业务
10000071,七牛直播Light,1380460970,七牛CDN,signId,accept_rule_inventory_customers,七牛系业务
10000075,七牛CDNLight,1380460970,七牛CDN,signId,accept_rule_inventory_customers,七牛系业务
10000078,七牛特招,1380460970,七牛CDN,signId,accept_rule_inventory_customers,七牛系业务
10000089,七牛直播,1380460970,七牛CDN,signId,accept_rule_inventory_customers,七牛系业务
10000278,七牛CDN-虚拟业务10000278,1380460970,七牛CDN,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含1380460970:七牛CDN
10000282,七牛CDN-虚拟业务10000282,1380460970,七牛CDN,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含1380460970:七牛CDN
10000292,七牛CDN-虚拟业务10000292,1380460970,七牛CDN,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含1380460970:七牛CDN
10000295,七牛CDN-虚拟业务10000295,1380460970,七牛CDN,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含1380460970:七牛CDN
4200000001,七牛CDN-虚拟业务4200000001,1380460970,七牛CDN,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含1380460970:七牛CDN
10000279,七牛特招-虚拟业务10000279,10000078,七牛特招,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含10000078:七牛特招
10000281,七牛特招-虚拟业务10000281,10000078,七牛特招,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含10000078:七牛特招
10000138,七牛买断,20000072,七牛买断,signId,accept_rule_inventory_customers,七牛系业务
10000277,七牛买断-虚拟业务10000277,10000138,七牛买断,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含10000138:七牛买断
10000286,七牛买断-虚拟业务10000286,10000138,七牛买断,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含10000138:七牛买断
10000291,七牛买断-虚拟业务10000291,10000138,七牛买断,vendorSuggestCustomersName,node_day_ops_wide_full,customerName为空但vendorSuggestCustomersName含10000138:七牛买断
10000072,七牛盒子,20000026,七牛盒子,signId,accept_rule_inventory_customers,七牛盒子系业务
10000127,七牛Pcdn盒子,20000026,七牛盒子,signId,accept_rule_inventory_customers,七牛盒子系业务
