node_id,vendorid,deliverytype,resourcetype,dialtype,nattype,scheduleisps,regsource,customermode,province,isp,city,device_type,arch_type,isvm,qoskiller_status,sevendayavg95ratio
node_000000,77882,egress,box,pppoe,fullcone,multi,self,resell,湖北,电信,北京,jarvis.C,vm,false,off,0.2153
node_000001,10001,egress,vm,dhcp,symmetric,telecom,self,direct,北京,电信,北京,jarvis.A,vm,false,off,0.9708
node_000002,77882,egress,box,staticNetSingle,symmetric,telecom,agent,direct,四川,移动,成都,jarvis.B,host,false,on,0.513
node_000003,10001,pcdn,vm,dhcp,public,telecom,agent,direct,浙江,电信,杭州,jarvis.A,host,false,on,0.8055
node_000004,77882,idc,vm,pppoe,fullcone,unicom,agent,direct,湖北,电信,武汉,jarvis.C,host,false,on,0.3393
node_000005,10001,egress,box,pppoe,public,mobile,self,resell,广东,联通,成都,jarvis.A,vm,true,off,0.5446
node_000006,10001,pcdn,vm,pppoe,fullcone,multi,self,resell,北京,联通,杭州,jarvis.A,vm,true,off,0.495
node_000007,77882,pcdn,box,pppoe,public,multi,self,resell,浙江,电信,武汉,jarvis.C,vm,true,off,0.3304
node_000008,30003,idc,vm,dhcp,fullcone,unicom,self,resell,浙江,电信,广州,jarvis.A,host,false,off,0.2613
node_000009,30003,pcdn,box,staticNetSingle,symmetric,multi,self,resell,广东,移动,杭州,jarvis.A,host,true,off,0.4578
node_000010,77882,egress,vm,dhcp,fullcone,unicom,agent,resell,浙江,电信,成都,jarvis.A,host,false,on,0.3094
node_000011,10001,idc,server,dhcp,public,unicom,agent,direct,浙江,移动,北京,jarvis.A,host,true,off,0.2039
node_000012,20002,pcdn,vm,pppoe,public,telecom,self,direct,浙江,联通,杭州,jarvis.A,host,false,on,0.9324
node_000013,20002,pcdn,server,staticNetSingle,public,telecom,self,direct,广东,联通,成都,jarvis.A,host,true,off,0.3947
node_000014,77882,egress,server,staticNetSingle,fullcone,mobile,agent,resell,浙江,电信,杭州,jarvis.B,vm,true,off,0.176
node_000015,10001,pcdn,vm,pppoe,symmetric,multi,agent,resell,北京,联通,武汉,jarvis.B,host,false,off,0.2054
node_000016,20002,pcdn,vm,pppoe,public,mobile,self,resell,浙江,移动,武汉,jarvis.C,vm,true,on,0.988
node_000017,77882,idc,box,dhcp,symmetric,multi,agent,direct,湖北,移动,广州,jarvis.C,vm,true,off,0.1958
node_000018,30003,egress,vm,staticNetSingle,public,multi,self,direct,四川,移动,杭州,jarvis.C,host,false,off,0.8542
node_000019,77882,egress,box,dhcp,fullcone,telecom,self,direct,四川,电信,武汉,jarvis.C,vm,true,off,0.6728
node_000020,30003,idc,server,staticNetSingle,fullcone,unicom,agent,resell,北京,联通,杭州,jarvis.B,host,true,off,0.6295
node_000021,20002,pcdn,box,pppoe,symmetric,mobile,agent,resell,北京,移动,广州,jarvis.C,vm,false,off,0.8199
node_000022,20002,idc,server,pppoe,symmetric,telecom,agent,direct,北京,移动,广州,jarvis.C,host,false,on,0.7189
node_000023,20002,pcdn,vm,pppoe,public,telecom,agent,resell,广东,联通,北京,jarvis.B,vm,true,on,0.9164
node_000024,20002,pcdn,vm,pppoe,symmetric,unicom,agent,resell,湖北,联通,北京,jarvis.C,vm,false,on,0.9186
node_000025,77882,pcdn,box,staticNetSingle,fullcone,unicom,self,resell,北京,联通,成都,jarvis.C,vm,false,off,0.7853
node_000026,30003,egress,box,pppoe,public,telecom,self,direct,北京,移动,杭州,jarvis.B,vm,false,off,0.9801
