node_id,business,online_time,cum_cost_7d,cum_revenue_7d
node_000000,kuaishou,2037478,936.55,952.2
node_000000,douyin,2037478,931.63,1052.38
node_000000,tencent_video,2037478,748.85,1166.77
node_000000,iqiyi,2037478,610.59,1021.81
node_000000,bilibili,2037478,708.65,952.16
node_000000,netease,2037478,565.7,768.12
node_000000,default,2037478,479.33,580.71
node_000001,kuaishou,1930423,1278.3,1353.33
node_000001,douyin,1930423,1239.62,1713.92
node_000001,tencent_video,1930423,945.24,2027.2
node_000001,iqiyi,1930423,820.32,1922.74
node_000001,bilibili,1930423,1035.28,1449.04
node_000001,netease,1930423,735.22,1213.04
node_000001,default,1930423,669.34,855.69
node_000002,kuaishou,2023649,934.17,1093.33
node_000002,douyin,2023649,950.7,1219.68
node_000002,tencent_video,2023649,843.09,1269.13
node_000002,iqiyi,2023649,711.63,1229.36
node_000002,bilibili,2023649,869.12,1148.0
node_000002,netease,2023649,668.85,925.86
node_000002,default,2023649,549.9,693.68
node_000003,kuaishou,1443827,958.25,1048.5
node_000003,douyin,1443827,871.2,1184.18
node_000003,tencent_video,1443827,661.1,1305.8
node_000003,iqiyi,1443827,569.75,1199.99
node_000003,bilibili,1443827,690.39,1065.64
node_000003,netease,1443827,551.6,925.44
node_000003,default,1443827,487.0,635.84
node_000004,kuaishou,1813640,1375.18,1331.23
node_000004,douyin,1813640,1227.34,1485.92
node_000004,tencent_video,1813640,926.11,1613.74
node_000004,iqiyi,1813640,827.87,1553.55
node_000004,bilibili,1813640,897.65,1384.81
node_000004,netease,1813640,757.47,1117.84
node_000004,default,1813640,607.65,816.15
node_000005,kuaishou,107863,1017.93,1149.59
node_000005,douyin,107863,961.23,1221.65
node_000005,tencent_video,107863,788.23,1615.67
node_000005,iqiyi,107863,718.56,1388.23
node_000005,bilibili,107863,882.14,1116.89
node_000005,netease,107863,603.51,911.27
node_000005,default,107863,578.93,706.06
node_000006,kuaishou,1349582,713.5,945.13
node_000006,douyin,1349582,663.85,1023.71
node_000006,tencent_video,1349582,567.79,1233.25
node_000006,iqiyi,1349582,525.82,1181.25
node_000006,bilibili,1349582,684.32,903.14
node_000006,netease,1349582,502.58,743.66
node_000006,default,1349582,394.33,512.4
node_000007,kuaishou,1335028,746.56,826.45
node_000007,douyin,1335028,691.41,872.71
node_000007,tencent_video,1335028,523.56,1019.24
