virtual_business,business,mode
10000165,10000074,0
10000165,10000000,1
10000165,10000069,0
10000165,10000070,0
10000165,10000304,0
10000171,10000019,0
10000171,1380389889,1
10000171,1382490022,0
10000171,10000047,0
10000171,10000054,0
10000171,10000041,0
10000171,10000176,0
10000242,10000183,1
10000219,10000074,1
10000219,10000000,0
10000219,10000069,0
10000317,1380317970,1
10000317,10000069,0
10000317,10000000,0
10000317,10000074,0
10000317,1382649737,0
10000317,1382680008,0
10000317,10000304,0
10000167,1380317970,1
10000167,10000005,0
10000167,10000152,0
10000318,1380317970,1
10000318,1382680008,0
10000318,1382649737,0
10000318,10000280,0
10000318,1380460970,0
10000318,10000244,0
10000318,10000304,0
10000324,1382649737,1
10000324,10000191,0
10000259,10000019,1
10000259,1382490022,0
10000259,10000300,0
10000259,10000123,0
10000290,10000280,1
10000158,10000019,0
10000158,10000139,1
10000257,10000019,0
10000257,10000003,0
10000257,10000041,0
10000257,10000294,1
10000257,1380389889,0
10000162,1380317970,1
10000162,10000000,0
10000162,10000069,0
10000162,10000078,0
10000162,10000152,0
10000162,10000005,0
10000162,10000304,0
10000151,1380460970,1
10000166,10000048,0
10000166,10000088,0
10000166,10000079,1
10000166,10000074,0
10000166,10000210,0
10000166,10000000,0
10000166,10000069,0
10000166,10000070,0
10000166,10000003,0
10000166,10000019,0
10000166,1380317970,0
10000166,10000280,0
10000166,10000294,0
10000172,10000064,1
10000172,10000123,0
10000172,10000122,0
10000172,1380389889,0
10000172,1381526443,0
10000172,10000048,0
10000172,10000139,2
10000172,10000069,0
10000172,10000019,0
10000179,10000064,1
10000179,10000123,0
10000179,10000122,0
10000179,10000078,0
10000179,10000048,0
10000198,10000197,1
10000203,10000044,1
10000148,10000078,1
10000226,10000210,0
10000226,10000088,1
10000226,10000079,0
10000226,1382522065,0
10000226,10000069,0
10000226,10000000,0
10000226,10000074,0
