business,business_name,brand,note
1382680008,字节CDN专线,字节,mainstream
10000224,字节CDN专线V4,字节,mainstream
10000063,字节CDN小盒子,字节,mainstream
10000009,字节CDN汇聚,字节,mainstream
10000088,字节CDN汇聚V2,字节,mainstream
10000210,字节CDN汇聚V3,字节,mainstream
10000011,字节架构专线,字节,mainstream
10000096,字节架构专线V3,字节,mainstream
1382522065,字节架构汇聚,字节,mainstream
10000079,字节架构汇聚V2,字节,mainstream
10000003,百度XCDN,百度,mainstream
10000064,百度小度,百度,mainstream
10000034,优酷专线,优酷,mainstream
10000048,优酷汇聚,优酷,mainstream
10000304,快手严选,快手,mainstream
1380317970,快手点播,快手,mainstream
10000005,快手直播,快手,mainstream
1382649737,腾讯专线,腾讯,mainstream
10000191,腾讯专线-80,腾讯,mainstream
10000137,腾讯云主机,腾讯,mainstream
10000070,腾讯内网全锥直连,腾讯,mainstream
10000069,腾讯汇聚P2P,腾讯,mainstream
10000000,腾讯汇聚直连,腾讯,mainstream
1381526443,爱奇艺,爱奇艺,mainstream
10000041,B站Web盒子,B站,mainstream
10000065,B站专线-mp,B站,mainstream
10000183,B站专线-盒子,B站,mainstream
10000244,B站专线-盒子V2,B站,mainstream
10000019,B站盒子,B站,mainstream
1380460970,七牛CDN,七牛,qiniu-canonical
10000280,七牛CDN-ZJ月95,七牛,qiniu-virtual-signId-1380460970
10000284,七牛买断-ZJ月95,七牛,qiniu-virtual-signId-1380460970
10000026,七牛MIKU,七牛,qiniu-signId-1380460970
10000071,七牛直播Light,七牛,qiniu-signId-1380460970
10000072,七牛盒子,七牛,qiniu-signId-20000026
10000075,七牛CDNLight,七牛,qiniu-signId-1380460970
10000078,七牛特招,七牛,qiniu-signId-1380460970
10000089,七牛直播,七牛,qiniu-signId-1380460970
10000127,七牛Pcdn盒子,七牛,qiniu-signId-20000026
10000138,七牛买断,七牛,qiniu-signId-20000072
10000277,七牛买断-虚拟业务10000277,七牛,qiniu-inferred-vendorSuggestCustomersName
10000278,七牛CDN-虚拟业务10000278,七牛,qiniu-inferred-vendorSuggestCustomersName
10000279,七牛特招-虚拟业务10000279,七牛,qiniu-inferred-vendorSuggestCustomersName
10000281,七牛特招-虚拟业务10000281,七牛,qiniu-inferred-vendorSuggestCustomersName
10000282,七牛CDN-虚拟业务10000282,七牛,qiniu-inferred-vendorSuggestCustomersName
10000286,七牛买断-虚拟业务10000286,七牛,qiniu-inferred-vendorSuggestCustomersName
10000291,七牛买断-虚拟业务10000291,七牛,qiniu-inferred-vendorSuggestCustomersName
10000292,七牛CDN-虚拟业务10000292,七牛,qiniu-inferred-vendorSuggestCustomersName
10000295,七牛CDN-虚拟业务10000295,七牛,qiniu-inferred-vendorSuggestCustomersName
4200000001,七牛CDN-虚拟业务4200000001,七牛,qiniu-inferred-vendorSuggestCustomersName
10000014,百度XCDN专线,百度,mainstream-variant-from-binding-audit
10000139,百度小度盒子,百度,mainstream-variant-from-binding-audit
10000047,优酷盒子,优酷,mainstream-variant-from-binding-audit
10000294,优酷汇聚晚高峰,优酷,mainstream-variant-from-binding-audit
1382490022,快手盒子,快手,mainstream-variant-from-binding-audit
10000074,腾讯直连独立,腾讯,mainstream-variant-from-binding-audit
10000323,腾讯盒子,腾讯,mainstream-variant-from-binding-audit-current-only
1380389889,爱奇艺盒子,爱奇艺,mainstream-variant-from-binding-audit
10000020,B站专线,B站,mainstream-variant-from-binding-audit
10000300,B站-晚高峰21点,B站,mainstream-variant-from-binding-audit-current-only
