nodeid,bw_rated,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize,hardwaretype,os,arch
ant2a0f6ff56bf5832b382fd756d438d,63.61,5,1941948,23847805911,0,0,23847805911,,android,armeabi-v7a
28920fc012e4efc7705f222578429b0e,220.0,4,8140840,536870912000,0,429496729600,107374182400,,linux,x86_64
ant2ad7bf446b3483f648d222135167c,491.08,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2e6af2285266037d9a990b86fafd1,243.12,4,8388608,5476083302,0,0,5476083302,,android,armeabi-v7a
ant21dcf7ac88ae43eceb85bc67e9d24,22.67,4,8388608,4724464025,0,0,4724464025,,android,armeabi-v7a
5ce2661609dffbb12eb4ed7bef8abbcb,5000.0,64,63870072,53146676939975,44750123250481,7916483719984,480069969510,,linux,x86_64
ant2c6b13ddb687a3b7987c4ff536147,74.39,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2012f67d0737c30768d4c09b6d708,90.12,4,1048576,4960687226,0,0,4960687226,,android,armeabi-v7a
ant27c7cfd02a1323e08ac7705826cc5,386.52,4,1015940,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2944be4506b0935bc9071d519bdf4,59.09,4,8388608,5476083302,0,0,5476083302,,android,armeabi-v7a
ant27eaf54375596385caa4553d77303,63.0,4,1048576,5100273664,0,0,5100273664,,android,armeabi-v7a
ant2238d73a477a73594935a2cfb8fbb,116.82,4,1484060,56833154744,0,0,56833154744,,android,armeabi-v7a
ant2c0d7fffcbe873625b33a64e61709,19.56,4,1016052,2458868776,0,0,2458868776,,android,armeabi-v7a
ant2c3677f5d793033b5a70d44bbbd36,83.61,5,2971064,62169651609,8160437862,0,54009213747,,android,armeabi-v7a
ant250de50aae7653165a7b849e0e4f1,481.52,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant21a785f69c865382b82261ff5a18d,96.72,4,2753840,25737591521,0,0,25737591521,,android,armeabi-v7a
ant730a7e96169733d62b659071b4925,90.99,2,4008904,85899345920,0,0,85899345920,,linux,x86_64
ant26a6d60863bd53d608b90863fbe10,113.93,4,2097152,2759516487,0,0,2759516487,,android,armeabi-v7a
ant2407933ec8a89351892ee1b1b0832,43.76,4,2045944,2630667468,0,0,2630667468,,android,armeabi-v7a
ant25659a100b0553a9ca8f36678b1b0,59.16,4,2055160,3704409292,0,0,3704409292,,android,armeabi-v7a
ant2d54feae8e3c43fc8b4078931a374,28.03,4,2058012,27358941675,0,0,27358941675,,android,armeabi-v7a
ant249af8734ad1a3e37934965b1647a,110.91,4,2053208,2899102924,0,0,2899102924,,android,armeabi-v7a
ant2ff4a63a4766b3337967f2f766965,28.67,4,1015940,5476083302,0,0,5476083302,,android,armeabi-v7a
ant3c2a11e4fd526232f9c1c68bd2a59,102.59,4,4002784,125627793408,0,0,125627793408,,linux,aarch64
ant23ee093940e0739dc89772d704b36,53.89,4,2054212,118133075476,0,0,118133075476,,android,armeabi-v7a
7a68d3c1a57a087541a88f224ce4bf1a,3000.0,64,131424540,10375674619490,0,9895604649980,480069969510,,linux,x86_64
ant29535a96523ce3238ab4c3dc39620,30.91,4,8388608,4885525299,0,0,4885525299,,android,armeabi-v7a
ant2a05565b59687330c84246d88a325,98.8,4,2097152,5293547192,0,0,5293547192,,android,armeabi-v7a
ant22db29cdf455c3ff98ca5c123e9ba,64.28,4,1015876,515396075,0,0,515396075,,android,armeabi-v7a
ant279317e18d1d13cdb9c65814a6045,7.61,4,7958656,28003186769,0,0,28003186769,,android,armeabi-v7a
ant2b8f3f81ecf8d3034b447b4844bc2,75.64,4,991436,5400921374,0,0,5400921374,,android,armeabi-v7a
ant244fdc6fc515436f8918c3e3e7c94,117.33,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant236374ea280503e42b1affd2bf4d7,76.6,4,2019608,27605902295,0,0,27605902295,,android,armeabi-v7a
ant2e502e0c263ba3edfb425daf0669e,35.96,4,477104,16943645982,15504831938,0,1438814044,,android,armeabi-v7a
ant2b1e541353fc6302f8091ac7a71a3,99.42,4,2020648,57713623040,0,0,57713623040,,android,armeabi-v7a
ant236438add1e733b15bb2dffb47345,83.83,4,4003380,121418725457,0,0,121418725457,,android,armeabi-v7a
ant2f1cbd7c7919535e0b6863017faef,100.88,4,1048576,4509715660,0,0,4509715660,,android,armeabi-v7a
ant8609a5c8055af4b7cf89d8d916602,200.0,4,4002784,125090922496,0,0,125090922496,,linux,aarch64
e0680ed3b25b1cc264aea392c6d3a8b4,220.0,4,8140840,536870912000,0,429496729600,107374182400,,linux,x86_64
ant233de98e3b3ef30478ed05a548a0f,99.7,4,3984284,116468775649,0,0,116468775649,,android,armeabi-v7a
ant256bb06c752f13e0c825ebd52574f,4.08,4,1985620,42810086522,31772020572,0,11038065950,,android,armeabi-v7a
ant27bec12a39e083adb906cdc26471f,379.33,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2d1609b4b0365320185de34f87a22,45.81,2,979732,5583457484,0,0,5583457484,,android,armeabi-v7a
ant2c71984de67f431099f1f39ca271d,82.47,4,2055160,57370025656,0,0,57370025656,,android,armeabi-v7a
ant277d33e2b51943692830cecf86733,99.52,4,2052176,4048006676,0,0,4048006676,,android,armeabi-v7a
7aa36123e7502950ce5d5d870ea8422f,1100.0,36,65494252,2339146563583,0,2089072092774,250074470809,,linux,x86_64
ant26be6c5952e243cc19131c08ac94c,88.55,4,2055156,3650722201,0,0,3650722201,,android,armeabi-v7a
4ee72cd4e9aa9933beed3873d1774b89,1840.0,32,20485248,858993459200,0,644245094400,214748364800,,linux,x86_64
ant2f1fd0fc7dd49363a9fa85123a90b,94.58,4,4063504,4885525299,0,0,4885525299,,android,armeabi-v7a
ant25fb7c461239e39b88824b75dd78f,18.13,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
02c4b3d0d9184b0d862717b91f063188,5000.0,64,65529696,55125797869971,44750123250481,9895604649980,480069969510,,linux,x86_64
ant2b1c8dea650c133ba8b616232d215,103.37,4,3832724,53418655744,0,0,53418655744,,android,armeabi-v7a
ant21cc4c830889e3a50ab42bb7d189b,4.98,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant26d8d6586b69e3098be187105b4e4,100.67,4,2097152,4166118277,0,0,4166118277,,android,armeabi-v7a
ant285ec2a1f0d523170800d011319a1,70.9,4,1048576,5175435591,0,0,5175435591,,android,armeabi-v7a
ant243ab3a9ab50a34b094eccd88e9ef,72.85,4,2055156,56833154744,0,0,56833154744,,android,armeabi-v7a
ant2368275e748713ab3a118f5b271d4,11.42,4,2055160,3650722201,0,0,3650722201,,android,armeabi-v7a
ant2a27b03e6d3f63fe79f5119050eed,83.72,4,2019608,58057220423,0,0,58057220423,,android,armeabi-v7a
ant20243afbf182c38758246802c3b2a,83.85,4,2019608,27605902295,0,0,27605902295,,android,armeabi-v7a
ant2e6a086d751903706b83fb58b2a43,84.31,4,2054224,4166118277,0,0,4166118277,,android,armeabi-v7a
ant8e6b88fc532879bc673bf2cd1bf93,120.0,4,4002784,125090922496,0,0,125090922496,,linux,aarch64
ant22481751397c838529bc8b7b83467,77.37,4,2053196,57799522385,0,0,57799522385,,android,armeabi-v7a
ant2da6a5d6c42dd396fab17547c33ed,5.58,4,2089984,11220602060,0,0,11220602060,,android,armeabi-v7a
ant24ac7c8c29abb3d74ac4b03529acf,7.36,4,8127008,5422396211,0,0,5422396211,,android,armeabi-v7a
ant240f696089dfb3787816ce2d0bc2f,94.13,4,1936408,17652315585,7730941132,0,9921374453,,android,armeabi-v7a
ant2695ef0688801339b9697aaf1d0dd,27.55,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant2b658693988d83095a21018eeebfd,15.12,4,1048576,5637144576,0,0,5637144576,,android,armeabi-v7a
ant21de663415a353d219cf2f8013e29,72.71,4,1907816,33683281018,14946486190,0,18736794828,,android,armeabi-v7a
ant2cdf16da6978b3a72aa8e7cfbc77e,5.17,4,1048576,4810363371,0,0,4810363371,,android,armeabi-v7a
ant262a59a56c44c397499cb30908901,74.07,4,2053196,5744518758,0,0,5744518758,,android,armeabi-v7a
ant2fdac78313d7f350a8eea747ff6d9,46.12,4,2058012,27358941675,0,0,27358941675,,android,armeabi-v7a
ant272474958740e3590b52340eeb0aa,99.67,4,2052184,27605902295,0,0,27605902295,,android,armeabi-v7a
ant285558909648634bba6e43c8215c7,14.37,4,2052184,27605902295,0,0,27605902295,,android,armeabi-v7a
ant26b3a8288b1a43d809a6e3bd73564,7.28,4,8388608,5476083302,0,0,5476083302,,android,armeabi-v7a
d504ec955c630d4854fc066aa6383fc0,150.0,4,8140840,536870912000,429496729600,0,107374182400,,linux,x86_64
ant2efbfb32ef05834c6955424cd8853,151.07,4,1009628,3919157657,0,0,3919157657,,android,armeabi-v7a
ant6d54344a7860d5aad85aa2dfa5b6f,35.0,4,4002784,123802432307,0,0,123802432307,,linux,
ant20836ce9bfb7e3d47a58ca8e36c27,82.69,4,2048076,118476672860,0,0,118476672860,,android,armeabi-v7a
ant2df91e8c82ccc325f8d9bf083b052,99.46,4,4063504,4724464025,0,0,4724464025,,android,armeabi-v7a
ant10c5243f8127708e2ed4decfc3566,500.0,8,16108992,1152232351333,0,1024242325913,127990025420,,linux,
ant28e447012dbcc301d8b3d9e6643eb,12.06,4,4003212,115491670589,0,0,115491670589,,android,armeabi-v7a
ant2107934ff29b63e31a29e501fcc57,81.31,4,1048576,5132485918,0,0,5132485918,,android,armeabi-v7a
ant2dfe95fb3ef633f649c5b982743d0,287.91,4,8388608,5637144576,0,0,5637144576,,android,armeabi-v7a
ant26969a6debb363412b44ebeec4077,6.12,4,4063504,4724464025,0,0,4724464025,,android,armeabi-v7a
ant2b94c55894425338d964ae6954bc5,23.54,4,4063504,4724464025,0,0,4724464025,,android,armeabi-v7a
ant2b6966ccc750431b4b5b0bac9ee79,99.37,4,1537836,4874787880,0,0,4874787880,,android,armeabi-v7a
