group,column,nonnull,coverage,unique,examples
身份/快照时间,node_id,26623,1.0,26623,005173869acc7065d7b96baa59167d00; 0162a9c35208f00b3430b890fed59709; 0169e2efdf711e8aa7eab262bf99c200
身份/快照时间,online_day,26623,1.0,134,2026-03-16; 2026-06-12; 2026-04-15
身份/快照时间,attribute_day,26623,1.0,134,2026-03-15; 2026-06-11; 2026-04-14
身份/快照时间,analysis_attribute_day,4774,0.17931863426360667,134,20260315.0; 20260319.0
身份/快照时间,attribute_hour,4774,0.17931863426360667,22,23.0; 17.0
设备/系统/架构,os,6316,0.23723847800773767,6,linux; CentOS Linux
设备/系统/架构,arch,6198,0.23280622018555386,8,x86_64; host
设备/系统/架构,isvm,18400,0.6911317282049356,2,False
地域/网络基础,province,18362,0.6897043909401646,31,青海; 安徽; 天津
地域/网络基础,city,18361,0.6896668294331969,358,西宁; 合肥; 天津
地域/网络基础,isp,18362,0.6897043909401646,3,移动; 联通
地域/网络基础,nattype,6563,0.24651617022874958,6,public; full
地域/网络基础,dialtype,6564,0.24655373173571724,7,staticNetSingle; serverDial
地域/网络基础,resourcetype,18400,0.6911317282049356,2,dedicated; aggregation
设备/系统/架构,hardwaretype,0,0.0,0,
带宽/网络能力,bandwidth,4774,0.17931863426360667,3739,5000.0; 330.0; 10.0
带宽/网络能力,actualbandwidth,18430,0.6922585734139654,4850,5000.0; 2400.0; 311.91
带宽/网络能力,netbenchlimitbandwidth,18430,0.6922585734139654,3880,5000.0; 2348.55; 238.01
业务/交付/机房/管理,node_state,4774,0.17931863426360667,2,online
CPU/内存/磁盘运行状态,cpuload1,18430,0.6922585734139654,1853,5.35; 0.88; 5.7
CPU/内存/磁盘运行状态,cpuload5,18430,0.6922585734139654,1835,6.51; 0.22; 4.25
CPU/内存/磁盘运行状态,cpuload15,18430,0.6922585734139654,1811,7.12; 0.07; 4.52
CPU/内存/磁盘容量,corenum,18430,0.6922585734139654,27,104.0; 48.0; 64.0
CPU/内存/磁盘运行状态,cpuuser,4774,0.17931863426360667,47,0.02; 0.01; 0.0
CPU/内存/磁盘运行状态,cpusystem,4774,0.17931863426360667,42,0.01; 0.0; 0.05
未分组/中间字段,cpunice,4774,0.17931863426360667,6,0.0
CPU/内存/磁盘运行状态,cpuidle,4774,0.17931863426360667,1,0.0
CPU/内存/磁盘运行状态,cpuiowait,4774,0.17931863426360667,25,0.01; 0.02; 0.0
未分组/中间字段,cpuirq,4774,0.17931863426360667,10,0.0; 0.01
未分组/中间字段,cpusoftirq,4774,0.17931863426360667,20,0.01; 0.0; 0.06
未分组/中间字段,cpusteal,4774,0.17931863426360667,3,0.0
CPU/内存/磁盘容量,memtotal,18430,0.6922585734139654,849,131708140.0; 65652596.0; 65860220.0
CPU/内存/磁盘运行状态,memused,18430,0.6922585734139654,6264,22296992.0; 3003568.0; 12986896.0
CPU/内存/磁盘运行状态,memfree,18430,0.6922585734139654,6204,2411572.0; 62095120.0; 8607036.0
CPU/内存/磁盘运行状态,membufferd,18430,0.6922585734139654,4654,39780.0; 15328.0; 13744.0
CPU/内存/磁盘运行状态,memcached,18430,0.6922585734139654,6217,106959796.0; 538580.0; 44252544.0
质量/丢包/重传/RTT,retrans,4863,0.18266160838372836,114,0.09; 0.1; 0.01
质量/丢包/重传/RTT,v4pingloss,4806,0.18052060248657176,87,0.0; 3.0
质量/丢包/重传/RTT,v6pingloss,4806,0.18052060248657176,58,0.0; 66.67; 5.0
质量/丢包/重传/RTT,v4pingavgrtt,4860,0.18254892386282537,80,0.0; 15.6
质量/丢包/重传/RTT,v4pingbestrtt,4774,0.17931863426360667,1,0.0
质量/丢包/重传/RTT,v4pingworstrtt,4774,0.17931863426360667,1,0.0
质量/丢包/重传/RTT,v6pingavgrtt,4860,0.18254892386282537,80,0.0; 15.6
质量/丢包/重传/RTT,v6pingbestrtt,4774,0.17931863426360667,1,0.0
质量/丢包/重传/RTT,v6pingworstrtt,4774,0.17931863426360667,1,0.0
CPU/内存/磁盘容量,totaldisksize,18430,0.6922585734139654,795,108012307165994.0; 4344144671538.0; 36873904848891.0
CPU/内存/磁盘运行状态,totaldiskused,18430,0.6922585734139654,2202,42244321218387.0; 3870656739409.0; 24669637165705.0
CPU/内存/磁盘容量,hdddisksize,18430,0.6922585734139654,111,88290783710404.0; 0.0; 24409158136626.0
CPU/内存/磁盘运行状态,hdddiskused,18430,0.6922585734139654,149,34854518600494.0; 0.0; 15173260463305.0
CPU/内存/磁盘容量,ssddisksize,18430,0.6922585734139654,104,19241453486080.0; 3848290697216.0; 7916483719984.0
CPU/内存/磁盘运行状态,ssddiskused,18430,0.6922585734139654,233,7366727906096.0; 3848290697216.0; 5387606976101.0
