node_id,online_day,attribute_snapshot_day,attribute_snapshot_hour,vendorid,deliverytype,resourcetype,dialtype,nattype,scheduleisps,regsource,customermode,province,isp,city,device_type,arch_type,isvm,qoskiller_status,bw
ant27ee73a25c0503de69b392dc8f301,2026-04-01,20260401,23,73394,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,湖南,电信,长沙,droid.B,host,false,,0
antys3837934e01d65084942393eb000,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,江苏,电信,无锡,micro.B,,false,,0
antys4a99ce5d76576feef9fb5836a00,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,贵州,电信,遵义,micro.B,,false,,0
antys8d60425e21527ada5856161bd00,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,江苏,电信,苏州,micro.B,,false,,0
ant2067830e071d83cef8b812833f900,2026-04-01,20260401,23,70162,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,上海,电信,上海,droid.B,host,false,,0
ant2a71d273ac8ca3513a5f3e6456b00,2026-04-01,20260401,23,36339,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,安徽,电信,马鞍山,droid.B,,false,,0
ant2d69cd3d03fb93c8bb2104757c800,2026-04-01,20260401,23,41249,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,山东,联通,临沂,droid.B,,false,,0
ant0920a71788ca93618647d52869000,2026-04-01,20260401,23,28860,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,湖南,电信,岳阳,ant.C,,false,,0
ant2c680b4307dd2303ba8ae50fa6700,2026-04-01,20260401,23,29326,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,江苏,移动,泰州,droid.B,host,false,,0
antys98badd8e8c1b149b6770305f300,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,江苏,电信,南京,micro.B,,false,,0
ant342222596908896e44c7ade5bd400,2026-04-01,20260401,23,48818,smallBox,aggregation,virtualRoute,symmetric,,self,specified,福建,移动,福州,ant.C,,false,,0
antys1cb29645c6967bbf0d889046301,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,山东,电信,青岛,micro.B,,false,,0
antysbab3adb0eb1b5e5ccab6fbfda00,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,江苏,电信,泰州,micro.B,,false,,0
ant205a8b0a21cc232dab729d993fb01,2026-04-01,20260401,23,73394,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,福建,电信,福州,droid.B,host,false,,0
antys02eb8df569ab6d2f452f5bd2900,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,陕西,电信,宝鸡,micro.B,,false,,0
antysb9b95032e0671cf6ba3757d6100,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,浙江,电信,嘉兴,micro.B,,false,,0
antysbfdf4b90308fa092191c877df00,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,江苏,电信,常州,micro.B,,false,,0
antysf38dac15ea0300d10a6178b3600,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,湖南,电信,娄底,micro.B,,false,,0
antysae19530d18da267c48e52f6b200,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,浙江,电信,宁波,micro.B,,false,,0
antys8f98e310c59a1703a4ef529ed00,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,湖北,电信,荆州,micro.B,,false,,0
ant22371b31e0d5a3622ab17760c4100,2026-04-01,20260401,23,36339,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,辽宁,联通,盘锦,droid.B,host,false,,0
antysbc8d9c1fae4ee15b76e1312b800,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,福建,电信,泉州,micro.B,,false,,0
ant2bfc6ff9fc4fc3bffab3465f8b501,2026-04-01,20260401,23,48818,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,北京,移动,北京,droid.A,host,false,,0
antys69599ca5316ecb0e64352797400,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,福建,电信,厦门,micro.B,,false,,0
ant210fddd9229e5317095c03e3c1801,2026-04-01,20260401,23,50765,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山东,移动,临沂,droid.B,,false,,0
antysc320fa20f0a2cd296e47e8aed00,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,浙江,电信,宁波,micro.B,,false,,0
antysb470efd5531292cbd87fccd7500,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,湖南,电信,岳阳,micro.B,,false,,0
antys28451bdac4c3c91caf30d2b1f00,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,浙江,电信,杭州,micro.B,,false,,0
ant2a97bd3de72ec3cc6b96db6661700,2026-04-01,20260401,23,76710,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,山东,电信,青岛,droid.B,host,false,on,0
antysecff5db0282573e7dc6467b8b00,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,辽宁,移动,沈阳,micro.B,,false,,0
antysba781857e7e46f7fb2bd7dadb00,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,河北,电信,石家庄,micro.B,,false,,0
anta780986180c48874e2a54d1696900,2026-04-01,20260401,23,48696,smallBox,aggregation,dhcpNetSingle,full,,self,specified,广东,电信,河源,ant.C,,false,,0
antys4a9540cf80b4959ce9edf17e201,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,四川,电信,眉山,micro.B,,false,,0
antys513390d2ddce08e3f3ad3e98600,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,四川,电信,成都,micro.B,,false,,0
antys1d9c64b374d8ecadb00ab3ee000,2026-04-01,20260401,23,50893,smallBox,aggregation,,,,self,,浙江,电信,杭州,micro.B,,false,,0
ant365b662c0c3dbf82cb5530f75ad01,2026-04-01,20260401,23,88661,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,陕西,联通,铜川,ant.B,,false,,0
antf4fe11d881968ce44f0889127a500,2026-04-01,20260401,23,39678,smallBox,aggregation,dhcpNetSingle,full,,self,specified,上海,联通,上海,ant.B,,false,,0
