node_id,vendorid,deliverytype,resourcetype,dialtype,nattype,scheduleisps,regsource,customermode,province,isp,city,device_type,arch_type,isvm,qoskiller_status,bw,os,arch,bw_rated,corenum,memtotal,totaldisksize,hdddisksize,ssddisksize,systemdisksize
ant25504b3bd7ead3ff3a879d92db396,36339,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,安徽,联通,宣城,droid.B,host,False,,0,,,,,,,,,
ant24d3f33873eb43376a538ebd458b0,50903,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,广东,移动,潮州,droid.B,host,False,,0,,,,,,,,,
ant27132cf715bf9376db37fc17cfe20,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,天津,移动,天津,droid.B,host,False,,0,,,,,,,,,
ant244a4564b2cdb3a01ba76e6b4bd6c,77385,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,广东,移动,汕头,droid.B,host,False,,0,,,,,,,,,
ant280aaabf160ef3fbbbe026de2d899,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,江苏,电信,宿迁,droid.A,host,False,,0,,,,,,,,,
045313b1eba4e350efdda100fcb30ea6,92349,aggregation,aggregation,serverDial,full,,self,specified,安徽,移动,芜湖,jarvis.A,host,False,,0,,,,,,,,,
ant25b99b77e54b33dc593fb0ba19113,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,重庆,电信,重庆,droid.A,host,False,,0,,,,,,,,,
ant26dea2cf651ab361baed7d88ccd17,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山东,联通,潍坊,droid.B,host,False,,0,,,,,,,,,
ant2589fbf7ee5df37d993540dc108db,25385,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河北,移动,沧州,droid.B,,False,,0,android,armeabi-v7a,30.0,4.0,4003376.0,121536837058.0,0.0,0.0,121536837058.0
ant288e3f2e6e1bd3a71b4e134072c09,70774,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,湖北,移动,黄石,droid.B,host,False,,0,,,,,,,,,
ant2014177d9747a333ab9cfa09fb30a,50903,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河北,联通,邢台,droid.B,host,False,default,0,,,,,,,,,
ant28ef1beb4320b33a8a41720b17557,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,陕西,联通,西安,droid.A,host,False,,0,android,armeabi-v7a,26.58,4.0,3854524.0,56790205071.0,0.0,0.0,56790205071.0
ant2479f88f71a693384996422b60f13,52176,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河南,移动,新乡,droid.B,host,False,default,0,android,armeabi-v7a,14.45,4.0,2019608.0,27605902295.0,0.0,0.0,27605902295.0
ant22d45a53d79d23542bd150dc4388a,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,山西,电信,太原,droid.A,host,False,,0,,,,,,,,,
ant28595ee32df38343aaf969f038cf4,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,黑龙江,联通,七台河,droid.B,host,False,,0,,,,,,,,,
791ab40cff444642b3746b85d924e99a,93918,aggregation,aggregation,staticNetCouple,public,,self,specified,河南,移动,郑州,jarvis.A,host,False,on,1000,,,,,,,,,
ant257c2c86e6eea32d69bf37d199941,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,山西,电信,临汾,droid.B,host,False,,0,android,armeabi-v7a,76.87,4.0,2034576.0,23579370455.0,0.0,0.0,23579370455.0
ant250cbe7ba0a8f333cae52bb98829c,36339,smallBox,aggregation,dhcpNetSingle,full,,self,specified,辽宁,联通,辽阳,droid.B,host,False,,0,,,,,,,,,
ant269932a7ff4be3ce184d364e8fb79,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,吉林,移动,白城,droid.B,host,False,,0,android,armeabi-v7a,114.0,4.0,1484060.0,34230889348.0,8042326261.0,0.0,26188563087.0
ant273618de9d8f03c6ca74b93756469,1782,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,广东,电信,惠州,droid.B,host,False,,0,android,armeabi-v7a,104.59,4.0,2058784.0,3478923509.0,0.0,0.0,3478923509.0
ant248c8044a184231c0961c722bc92c,77385,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,湖南,移动,长沙,droid.B,host,False,,0,,,,,,,,,
ant266a13466935733c3ae9344fa1a5f,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,福建,联通,福州,droid.A,host,False,,0,,,,,,,,,
ant281359003dd2233b9805a314a21e8,74066,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河南,移动,洛阳,droid.B,host,False,,0,,,,,,,,,
ant22698d283c3373de399ad8ebb87e2,50351,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,山东,移动,潍坊,droid.B,host,False,default,0,android,armeabi-v7a,71.67,4.0,2055168.0,236384262553.0,0.0,118111600640.0,118272661913.0
ant251edbaac73333952b9cf02748480,77385,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,黑龙江,联通,绥化,droid.B,host,False,,0,,,,,,,,,
ant26a3f95bc6a553aab897cdc82793c,52883,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,广西,联通,北海,droid.B,,False,,0,android,armeabi-v7a,25.98,4.0,1015672.0,5132485918.0,0.0,0.0,5132485918.0
ant2183c2fcfd1d13e9d898bd2bc208c,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,河北,联通,邯郸,droid.B,host,False,,0,,,,,,,,,
ant2083d8339109b35d9a588c3c05ba3,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,山东,联通,东营,droid.B,host,False,default,0,,,,,,,,,
8d9446f0f8ef45dbf4c81411d91c7d0c,55341,aggregation,aggregation,externalDial,full,电信,self,specified,江苏,移动,苏州,jarvis.A,vm,True,default,0,linux,x86_64,220.0,4.0,8140832.0,536870912000.0,0.0,429496729600.0,107374182400.0
ant295e1e432f7a73805bbe1766280a4,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,云南,移动,西双版纳,droid.B,host,False,,0,,,,,,,,,
ant23184e06346403bfcb421119d8796,76214,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,河南,联通,安阳,droid.B,host,False,,0,,,,,,,,,
025cd3caa3521915e655b434ecc2f5dc,8185,aggregation,aggregation,virtualRoute,full,,self,specified,江苏,移动,南通,jarvis.A,host,False,default,1000,linux,x86_64,85.0,4.0,7854516.0,480069969510.0,0.0,0.0,480069969510.0
ant2725f7ed8cbb038d88fdb733afb93,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,辽宁,联通,本溪,droid.A,host,False,,0,,,,,,,,,
ant24f30086f0b1c3ea9a023f52c48a7,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,安徽,联通,合肥,droid.A,host,False,,0,,,,,,,,,
ant21d6dd962b54f3514b96d7c1c1032,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,福建,电信,漳州,droid.B,host,False,,0,,,,,,,,,
ant25e43c9a721aa397a912b3b2a53c3,76214,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,福建,电信,泉州,droid.B,host,False,,0,,,,,,,,,
51e7d05fbddfe57ce79f51ec3b4ab140,1374,aggregation,aggregation,serverDial,symmetric,,self,specified,江苏,移动,无锡,jarvis.A,host,False,default,10000,,,,,,,,,
ant26006d01cf50b3d978cccef5081bc,52176,smallBox,aggregation,dhcpNetSingle,symmetric,,self,specified,江西,电信,新余,droid.B,host,False,,0,,,,,,,,,
ant201b11c4f84013505bae9437b5188,51223,smallBox,aggregation,dhcpNetSingle,symmetric,联通,self,specified,湖南,移动,长沙,droid.B,,False,default,0,,,,,,,,,
ant214339a96944c3c2a9183d8ed77bb,77385,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,广东,电信,潮州,droid.B,host,False,default,0,android,armeabi-v7a,352.01,4.0,1048576.0,5637144576.0,0.0,0.0,5637144576.0
ant25deb22b6c9063a5c805f1a850638,71126,smallBox,aggregation,dhcpNetSingle,restricPort,,self,specified,四川,联通,资阳,droid.B,host,False,default,0,android,armeabi-v7a,99.14,4.0,2055160.0,3704409292.0,0.0,0.0,3704409292.0
