node_id,miner_best,miner_cost,operator_best,operator_profit,miner_top3,operator_top3,online_day,attribute_snapshot_day,attribute_snapshot_hour
028710d587d8579cedce16378a802705,10000292,396.8741926170616,10000292,127.14886388539085,10000292:396.9;1380317970:383.0;10000244:332.8,10000292:127.1;10000069:86.6;1380317970:65.1,2026-07-14,20260714,23
03af27573a00e412a1b391c4349ee600,10000069,427.5818044286933,10000069,182.59137596526213,10000069:427.6;10000280:392.6;10000244:296.8,10000069:182.6;10000079:57.3;10000064:42.6,2026-07-22,20260722,23
04361e41690c3e984737d252e8e6e601,1380317970,737.7856871925871,10000292,86.39853325419182,1380317970:737.8;10000244:548.4;10000292:534.7,10000292:86.4;10000079:60.6;10000069:59.4,2026-07-25,20260725,23
06c94c48a3f6bca46c6f01f06e10b602,10000244,300.0360288846586,10000069,82.5961157591491,10000244:300.0;10000079:293.7;10000069:230.3,10000069:82.6;10000079:34.4;10000064:33.6,2026-07-09,20260709,23
06de2a5f6d4fd117c13ecac22528ea09,10000281,547.293135784623,10000069,187.2476050059153,10000281:547.3;10000069:318.8;10000244:288.0,10000069:187.2;1380317970:75.6;10000079:34.9,2026-07-12,20260712,23
095e67ad04a793dc167698a7d7d61c08,10000079,682.2461691844535,10000069,347.74150277871513,10000079:682.2;10000281:467.6;10000069:454.8,10000069:347.7;10000019:99.8;10000064:15.3,2026-07-10,20260710,23
0bb9c2dd9d0dd1f751a6f1d93688ad00,10000292,417.54913398671465,10000069,191.84873248757302,10000292:417.5;10000281:363.0;10000074:349.8,10000069:191.8;10000292:159.5;1380317970:106.0,2026-07-06,20260706,23
0d011d55200aba30ce1ffc6c540b5d06,10000079,682.2461691844535,10000069,347.74150277871513,10000079:682.2;10000281:467.6;10000069:454.8,10000069:347.7;10000019:99.8;10000064:15.3,2026-07-08,20260708,23
0d17ad4b23bb5fe90152630b3887ec0c,10000292,704.2023368044128,10000292,84.6110023752764,10000292:704.2;1380317970:567.4;10000244:522.6,10000292:84.6;10000069:68.8;10000079:46.0,2026-07-06,20260706,23
0e38d6a333cbb861ef129c4f38104c0c,10000292,573.5872133620255,10000292,109.88229010425786,10000292:573.6;10000069:523.0;10000244:512.6,10000292:109.9;10000069:58.8;10000064:42.7,2026-07-17,20260717,23
0ecbeff0c62a540b8af4ad0016691f0a,10000244,784.033643173894,10000244,60.15076307091003,10000244:784.0;1380317970:464.1;10000069:309.6,10000244:60.2;10000079:47.8;10000064:40.3,2026-07-07,20260707,23
104ffe8bcfe1836db4d96f4695a30700,10000079,682.2461691844535,10000069,347.74150277871513,10000079:682.2;10000281:467.6;10000069:454.8,10000069:347.7;10000019:99.8;10000064:15.3,2026-07-07,20260707,23
11b50cd9fa3aa11fe60c54ef75205d0b,10000069,2338.8626248996043,10000069,663.7020108254969,10000069:2338.9;10000280:2164.6;1380317970:2011.2,10000069:663.7;10000019:299.6;1380317970:276.8,2026-07-12,20260712,23
12b16718174a897d15769abac17d6201,10000069,427.5818044286933,10000069,182.59137596526213,10000069:427.6;10000280:392.6;10000244:296.8,10000069:182.6;10000079:57.3;10000064:42.6,2026-07-27,20260727,23
13da1c774e5e4207a732aef1aff8790b,10000069,510.9141702278484,10000292,153.53488588862035,10000069:510.9;10000280:442.5;10000292:442.3,10000292:153.5;10000069:140.0;10000064:61.0,2026-07-10,20260710,23
1419c6901560e83c9911610b21164909,10000244,555.149057934309,10000079,43.19981886714446,10000244:555.1;10000069:340.6;1380317970:291.3,10000079:43.2;10000244:41.3;10000069:28.3,2026-07-07,20260707,23
16227ab813cddc7101200c00b5ae8000,10000280,1394.079613557119,10000069,458.96694125933317,10000280:1394.1;10000281:1350.1;10000079:1322.3,10000069:459.0;10000019:130.3;10000064:82.0,2026-07-12,20260712,23
1796aca9a846c6412d9dcf5cfb3be608,10000079,886.4893530019791,10000069,241.77396631819585,10000079:886.5;10000069:594.7;10000281:525.3,10000069:241.8;10000019:213.9;10000244:128.3,2026-07-07,20260707,23
17b216a7204270c6f12d8371d7650c00,1380317970,349.61638402569633,10000069,164.4202345077361,1380317970:349.6;10000281:288.9;10000069:261.4,10000069:164.4;1380317970:90.7;10000280:88.5,2026-07-28,20260728,23
1868fc377cdadd4aaaea56e4904dad0b,10000069,419.45864556317747,10000069,186.91049307917987,10000069:419.5;10000280:392.6;10000244:353.9,10000069:186.9;10000079:47.6;10000064:31.3,2026-07-08,20260708,23
186a4e1fc6170f8cf59a94cad1ed0600,10000069,419.45864556317747,10000069,186.91049307917987,10000069:419.5;10000280:392.6;10000244:353.9,10000069:186.9;10000079:47.6;10000064:31.3,2026-07-07,20260707,23
18d8d97dfc767fbb88d24b6e9100b90c,1380317970,998.9225572859638,1380317970,364.62387661598166,1380317970:998.9;10000292:759.1;10000079:714.4,1380317970:364.6;10000079:130.7;10000292:118.3,2026-07-19,20260719,23
19e86bf96266b1069143ea0712ccd00a,1380317970,865.6594983110791,1380317970,399.2997355872813,1380317970:865.7;10000292:865.4;10000069:817.3,1380317970:399.3;10000069:222.1;10000079:169.0,2026-07-12,20260712,23
1a7ce1758d56e8f12c23adb933a9b101,10000292,926.6012783787486,10000069,214.06943095775543,10000292:926.6;10000069:762.2;10000244:690.2,10000069:214.1;10000292:174.0;1380317970:127.6,2026-07-17,20260717,23
1b50648823852f7eecce134353d9ad05,10000069,1010.7403418037326,10000069,207.43151253888985,10000069:1010.7;10000079:989.8;10000244:911.7,10000069:207.4;10000064:43.8;10000244:31.8,2026-07-09,20260709,23
1e7f42c4ce1560d571b99b7a2385400b,10000281,538.4751416984873,10000292,135.0288042993677,10000281:538.5;10000069:480.2;10000244:410.8,10000292:135.0;10000069:131.5;10000079:50.9,2026-07-17,20260717,23
1fd697fa518d3ffaa28777ec0374ef07,10000069,563.9576755196847,1380317970,389.7290764395518,10000069:564.0;1380317970:559.0;10000079:423.9,1380317970:389.7;10000069:212.0;10000079:105.4,2026-07-25,20260725,23
23eeaf79a47467a3d4db411e9b6eb605,10000244,899.9011789520086,10000079,46.84742383385526,10000244:899.9;1380317970:717.3;10000074:412.0,10000079:46.8;10000244:46.3;10000069:28.1,2026-07-10,20260710,23
248a9505c2129bee6f694357c9434b06,10000292,424.04287301201396,10000069,181.5114978384969,10000292:424.0;10000069:372.3;10000281:367.7,10000069:181.5;10000292:157.3;1380317970:107.9,2026-07-21,20260721,23
253975577671521de38e4ec800269109,10000244,476.77411199164084,10000292,139.03398840023542,10000244:476.8;10000292:420.5;1380317970:353.7,10000292:139.0;10000079:45.6;10000064:38.9,2026-07-13,20260713,23
