business,business_name,source,source_path
1,内部测试,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000000,腾讯汇聚直连,node_day_ops_wide,v1_business_name_map_superset.csv
10000001,百度拨测,node_day_ops_wide,v1_business_name_map_superset.csv
10000002,百度网盘,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000003,百度XCDN,node_day_ops_wide,v1_business_name_map_superset.csv
10000004,芒果汇聚,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000005,快手直播,node_day_ops_wide,v1_business_name_map_superset.csv
10000006,字节小节点,node_day_ops_wide,v1_business_name_map_superset.csv
10000007,B站-mp2sp,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000008,存储服务,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000009,字节CDN汇聚,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000010,字节拨测,node_day_ops_wide,v1_business_name_map_superset.csv
10000011,字节架构专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000012,钛雾,node_day_ops_wide_full,v1_business_name_map_superset.csv
10000013,爱奇艺HCACHE,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000014,百度XCDN专线,node_day_ops_wide,v1_business_name_map_superset.csv
10000015,斗鱼,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000016,字节FCDN直播,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000017,新流云汇聚,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000018,空际,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000019,B站盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000020,B站专线,node_day_ops_wide,v1_business_name_map_superset.csv
10000021,华为B站盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000022,星际非80,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000023,星云非80,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000024,星火80,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000025,虎牙专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000026,七牛MIKU,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000027,百度字节架构汇聚,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000028,天翼云,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000029,YY直播,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000030,山东栅格,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000031,B站mini盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000032,华为汇聚,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000033,B站-Net,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000034,优酷专线,node_day_ops_wide,v1_business_name_map_superset.csv
10000035,快手mini盒子（已停用）,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000036,斗鱼盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000037,天翼云专线,node_day_ops_wide_full,v1_business_name_map_superset.csv
10000038,字节mini盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000039,百度快手点播,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000040,链尚云,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000041,B站Web盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000042,华为B站web盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000043,网宿,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000044,厦门小快,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000045,百度直播Light,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000046,中电智恒,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000047,优酷盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000048,优酷汇聚,node_day_ops_wide,v1_business_name_map_superset.csv
10000049,B站web-mini盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000050,字节直播mini盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000051,白山专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000052,好未来汇聚,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000053,好未来专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000054,字节小节点直播,node_day_ops_wide,v1_business_name_map_superset.csv
10000055,B站-v2,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000056,芒果专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000057,点心mini盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000058,优酷mini盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000059,360网盘盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000060,金山云盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000061,360汇聚,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000062,普维云专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000063,字节CDN小盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000064,百度小度,node_day_ops_wide,v1_business_name_map_superset.csv
10000065,B站专线-mp,node_day_ops_wide,v1_business_name_map_superset.csv
10000066,金山云mini盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000067,B站盒子mg,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000068,华为非80专线,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000069,腾讯汇聚P2P,node_day_ops_wide,v1_business_name_map_superset.csv
10000070,腾讯内网全锥直连,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000071,七牛直播Light,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000072,七牛盒子,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000073,字节小直播micro,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000074,腾讯直连独立,node_day_ops_wide,v1_business_name_map_superset.csv
10000075,七牛CDNLight,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000076,腾讯下沉小机房,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000077,中科海网,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000078,七牛特招,node_day_ops_wide,v1_business_name_map_superset.csv
10000079,字节架构汇聚V2,node_day_ops_wide,v1_business_name_map_superset.csv
10000080,hn下行业务,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000081,百度网盘专线（停用）,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000082,sx下行,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
10000083,B站web-mini-qn盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000084,B站mini-qn盒子,node_day_ops_wide,v1_business_name_map_superset.csv
10000085,302异网,accept_rule_inventory_customers,/Users/rj/Desktop/superset/outputs/accept_rule_inventory_20260728/customers.json
