business,business_name,row_count,last_day,sample_source_table
10000000,腾讯汇聚直连,7003,2026-08-19,node_day_ops_wide
10000001,百度拨测,176929,2026-08-19,node_day_ops_wide
10000003,百度XCDN,8836,2026-08-19,node_day_ops_wide
10000005,快手直播,3785,2026-08-19,node_day_ops_wide
10000006,字节小节点,704134,2026-08-19,node_day_ops_wide
10000010,字节拨测,4548,2026-08-19,node_day_ops_wide
10000012,钛雾,6,2026-07-01,node_day_ops_wide_full
10000014,百度XCDN专线,6621,2026-08-19,node_day_ops_wide
10000019,B站盒子,2375272,2026-08-19,node_day_ops_wide
10000020,B站专线,5857,2026-08-19,node_day_ops_wide
10000034,优酷专线,20284,2026-08-19,node_day_ops_wide
10000037,天翼云专线,19942,2026-08-19,node_day_ops_wide_full
10000038,字节mini盒子,2319953,2026-08-19,node_day_ops_wide
10000041,B站Web盒子,480305,2026-08-19,node_day_ops_wide
10000047,优酷盒子,113705,2026-08-19,node_day_ops_wide
10000048,优酷汇聚,8371,2026-08-19,node_day_ops_wide
10000050,字节直播mini盒子,5409120,2026-08-19,node_day_ops_wide
10000054,字节小节点直播,2481476,2026-08-19,node_day_ops_wide
10000058,优酷mini盒子,26118,2026-08-19,node_day_ops_wide
10000060,金山云盒子,60285,2026-08-19,node_day_ops_wide
10000064,百度小度,220807,2026-08-19,node_day_ops_wide
10000065,B站专线-mp,5361,2026-08-19,node_day_ops_wide
10000066,金山云mini盒子,26056,2026-08-19,node_day_ops_wide
10000069,腾讯汇聚P2P,123220,2026-08-19,node_day_ops_wide
10000074,腾讯直连独立,48253,2026-08-19,node_day_ops_wide
10000078,七牛特招,1956,2026-08-15,node_day_ops_wide
10000079,字节架构汇聚V2,301316,2026-08-19,node_day_ops_wide
10000083,B站web-mini-qn盒子,788600,2026-08-19,node_day_ops_wide
10000084,B站mini-qn盒子,2401352,2026-08-19,node_day_ops_wide
10000087,专项upB-out,11087,2026-08-19,node_day_ops_wide
10000088,字节CDN汇聚V2,20531,2026-08-19,node_day_ops_wide
10000095,百度网盘盒子,666,2026-08-19,node_day_ops_wide
10000096,字节架构专线V3,68849,2026-08-19,node_day_ops_wide
10000097,专项upB-out-mini,306814,2026-08-19,node_day_ops_wide
10000099,快手miniV2,389494,2026-08-19,node_day_ops_wide
10000109,专项upB-out-电信,2937,2026-08-19,node_day_ops_wide
10000111,专项upB-out-mini-电信,747,2026-08-19,node_day_ops_wide
10000122,金山云汇聚ern,12464,2026-08-19,node_day_ops_wide
10000123,金山云ern_HQ,37562,2026-08-19,node_day_ops_wide
10000124,Miku盒子,3510,2026-08-19,node_day_ops_wide_full
10000127,七牛Pcdn盒子,55677,2026-08-19,node_day_ops_wide
10000129,爱奇艺mini盒子,1571591,2026-08-19,node_day_ops_wide
10000138,七牛买断,926,2026-06-09,node_day_ops_wide
10000139,百度小度盒子,386564,2026-08-19,node_day_ops_wide
10000149,百度小度mini盒子,2446114,2026-08-19,node_day_ops_wide
10000159,专项upB-out-单向,89230,2026-08-19,node_day_ops_wide
10000160,专项upB-out-mini-单向,8198,2026-08-19,node_day_ops_wide
10000175,百度网盘专线,28369,2026-08-19,node_day_ops_wide
10000177,百度网盘专线-ANT,8429,2026-08-19,node_day_ops_wide
10000178,专项upB-out-micro-单向,3390,2026-08-19,node_day_ops_wide
10000180,钛雾mini盒子,194293,2026-08-19,node_day_ops_wide_full
10000183,B站专线-盒子,43457,2026-08-19,node_day_ops_wide
10000191,腾讯专线-80,4591,2026-08-19,node_day_ops_wide
10000197,天翼云V2,2258,2026-08-19,node_day_ops_wide
10000210,字节CDN汇聚V3,994,2026-08-19,node_day_ops_wide
10000215,多虚机业务A,810,2026-08-19,node_day_ops_wide
10000224,字节CDN专线V4,2401,2026-08-19,node_day_ops_wide
10000244,B站专线-盒子V2,141428,2026-08-19,node_day_ops_wide
10000275,1018北京联通-叠加in,3,2026-06-30,node_day_ops_wide_full
10000276,33792斯锐德江苏泰州电信-叠加in,25,2026-07-08,node_day_ops_wide_full
10000280,七牛CDN-ZJ月95,1196,2026-08-19,node_day_ops_wide_full
10000294,优酷汇聚晚高峰,14591,2026-08-19,node_day_ops_wide_full
10000299,天翼云分时专线,2718,2026-08-19,node_day_ops_wide_full
10000300,B站-晚高峰21点,4843,2026-08-19,node_day_ops_wide_full
10000304,快手严选,26860,2026-08-19,node_day_ops_wide_full
10000307,爱奇艺盒子严选,38222,2026-08-19,node_day_ops_wide_full
10000312,金山云闲时,479,2026-08-19,node_day_ops_wide_full
1380317970,快手点播,94339,2026-08-19,node_day_ops_wide
1380389889,爱奇艺盒子,1148859,2026-08-19,node_day_ops_wide
1380460970,七牛CDN,19651,2026-08-19,node_day_ops_wide
1381526443,爱奇艺,20980,2026-08-19,node_day_ops_wide
1382490022,快手盒子,245787,2026-08-19,node_day_ops_wide
1382522065,字节架构汇聚,5505,2026-08-19,node_day_ops_wide
1382649737,腾讯专线,16764,2026-08-19,node_day_ops_wide
1382680008,字节CDN专线,28267,2026-08-19,node_day_ops_wide
