pool_level,pool_key,business,business_name,daily_province,daily_isp,network_schedule_type,schedule_target_isp,as_of_day,history_days,valid_capacity_days,recent_forecast_days,recent_bandwidth_coverage,capacity_evidence_sufficient,capacity_confidence,capacity_state,target_utilization,forecast_peak95_mbps_p75,raw_capacity_ceiling_mbps,operational_capacity_ceiling_mbps,current_active_build_bandwidth_mbps,current_estimated_peak95_mbps,current_utilization,allocatable_headroom_mbps,oversupplied_bandwidth_mbps,median_utilization,low_utilization_day_share,median_low_utilization_node_share,median_platform_profit_per_build_mbps
business,10000079,10000079,字节架构汇聚V2,,,,,2026-09-09,31,31,14,0.9996171654053764,True,high,接近目标,0.7,4919817.771954007,7028311.10279144,7028311.10279144,6613872.0,4768372.194058985,0.7209652974927524,414439.1027914397,0.0,0.7418600855421921,0.0,0.1502449646162221,0.0091407821595684
business,10000280,10000280,七牛CDN-ZJ月95,,,,,2026-09-09,31,31,14,0.9289174144429652,True,medium,接近目标,0.7,3826231.3459279314,5466044.779897045,5466044.779897045,5387348.0,3802204.592836209,0.7057655441668533,78696.77989704534,0.0,0.704068960553391,0.0,0.0573440643863179,0.0028972951530148
business,10000069,10000069,腾讯汇聚P2P,,,,,2026-09-09,31,31,14,0.9983543228467446,True,high,建设带宽偏多,0.7,1505041.8900258832,2150059.842894119,3236612.0,3236612.0,1758879.761860856,0.5434323798653826,0.0,1086552.1571058808,0.5106422516716104,0.4193548387096774,0.3462686567164179,0.0128863590765825
business,10000019,10000019,B站盒子,,,,,2026-09-09,31,31,14,0.9993576016967596,True,high,建设带宽偏多,0.7,1081368.4523280598,1544812.0747543713,2521829.6,2521829.6,898191.5641898002,0.356166635600518,0.0,977017.5252456288,0.3830088867180642,1.0,0.7684478371501272,0.0163735826268313
business,10000304,10000304,快手严选,,,,,2026-09-09,31,31,14,0.9877311732593812,True,high,接近目标,0.7,1324765.9139626403,1892522.7342323435,1892522.7342323435,1764517.5,1328893.5218581203,0.7531200579524546,128005.2342323435,0.0,0.8523020393101393,0.0,0.1746411483253588,0.0076384553705274
business,10000183,10000183,B站专线-盒子,,,,,2026-09-09,31,31,14,0.9987236709020436,True,high,仍有容量,0.7,1391307.6792626064,1987582.3989465807,1987582.3989465807,1337850.0,610514.7737387825,0.4563402277824737,649732.3989465807,0.0,0.6502649118722149,0.1935483870967742,0.2606516290726817,0.0193967017422804
business,1382680008,1382680008,字节CDN专线,,,,,2026-09-09,31,31,14,0.9990781331217424,True,high,仍有容量,0.7,977756.4425446724,1396794.9179209606,1396794.9179209606,1248524.0,978715.5417502295,0.783898060229703,148270.91792096058,0.0,0.8252269027110704,0.0,0.0106951871657754,0.0121337891189215
business,1382649737,1382649737,腾讯专线,,,,,2026-09-09,31,31,14,1.0,True,high,建设带宽偏多,0.7,591237.5043465,844625.0062092858,1055100.0,1055100.0,597328.990696,0.5661349546924462,0.0,210474.9937907142,0.6197403588039144,0.0,0.2307692307692307,0.0092742835820895
business,10000244,10000244,B站专线-盒子V2,,,,,2026-09-09,31,31,14,0.99916232789705,True,high,仍有容量,0.7,1052399.8715001857,1503428.3878574078,1503428.3878574078,1009358.0,738755.4427087782,0.7319062638912835,494070.3878574078,0.0,0.9908974356553252,0.0,0.037037037037037,0.0228343250799118
business,10000096,10000096,字节架构专线V3,,,,,2026-09-09,31,31,14,0.9960518298667028,True,high,仍有容量,0.7,1315109.540687947,1878727.915268496,1878727.915268496,768700.0,706466.343704,0.9190403846806297,1110027.915268496,0.0,0.9739740717372934,0.0,0.0316742081447963,0.0178414552591407
